latitude,longitude,obs_id,Month,Day,Year,species_code,how_many,valid
48.4183388,-122.2860565,OBS364344760,12,14,2015,foxspa,1,1
37.5818901,-121.990097,OBS358341135,11,21,2015,gocspa,1,1
37.5818901,-121.990097,OBS361587320,12,19,2015,gocspa,2,1
37.5818901,-121.990097,OBS361589948,12,26,2015,gocspa,2,1
37.5818901,-121.990097,OBS367131892,1,9,2016,gocspa,2,1
37.5818901,-121.990097,OBS371576963,1,23,2016,gocspa,2,1
37.5818901,-121.990097,OBS371590629,2,6,2016,gocspa,1,1
37.5818901,-121.990097,OBS371593702,1,2,2016,gocspa,1,1
37.5818901,-121.990097,OBS379378555,2,20,2016,gocspa,5,1
37.5818901,-121.990097,OBS379381404,2,27,2016,gocspa,3,1
37.5818901,-121.990097,OBS379477399,3,5,2016,gocspa,1,1
37.5818901,-121.990097,OBS384484788,3,12,2016,gocspa,4,1
37.5818901,-121.990097,OBS389884862,4,2,2016,gocspa,2,1
39.417331,-76.5477133,OBS476016551,3,14,2017,foxspa,1,1
45.53882,-122.3889399,OBS359070745,11,22,2015,gocspa,3,1
45.53882,-122.3889399,OBS359071515,11,29,2015,gocspa,4,1
45.53882,-122.3889399,OBS359072438,12,6,2015,gocspa,6,1
45.53882,-122.3889399,OBS359073503,12,13,2015,gocspa,3,1
45.53882,-122.3889399,OBS361684389,12,20,2015,gocspa,1,1
45.53882,-122.3889399,OBS361684990,12,27,2015,gocspa,3,1
45.53882,-122.3889399,OBS366722271,1,3,2016,gocspa,2,1
45.53882,-122.3889399,OBS366724205,1,11,2016,gocspa,2,1
45.53882,-122.3889399,OBS369856455,1,16,2016,gocspa,2,1
45.53882,-122.3889399,OBS369856861,1,24,2016,gocspa,1,1
45.53882,-122.3889399,OBS376492396,1,31,2016,gocspa,3,1
45.53882,-122.3889399,OBS376493475,2,7,2016,gocspa,1,1
45.53882,-122.3889399,OBS376495284,2,14,2016,gocspa,2,1
45.53882,-122.3889399,OBS376496549,2,21,2016,gocspa,2,1
45.53882,-122.3889399,OBS379778075,3,6,2016,gocspa,6,1
45.53882,-122.3889399,OBS381180552,3,13,2016,gocspa,4,1
45.53882,-122.3889399,OBS384904294,3,20,2016,gocspa,4,1
45.53882,-122.3889399,OBS388139496,3,27,2016,gocspa,9,1
45.53882,-122.3889399,OBS388140952,4,3,2016,gocspa,3,1
45.53882,-122.3889399,OBS446739814,11,13,2016,gocspa,3,1
45.53882,-122.3889399,OBS446740019,11,20,2016,gocspa,2,1
45.53882,-122.3889399,OBS446740277,11,27,2016,gocspa,5,1
45.53882,-122.3889399,OBS448999916,12,4,2016,gocspa,5,1
45.53882,-122.3889399,OBS449001019,12,11,2016,gocspa,7,1
45.53882,-122.3889399,OBS474582220,3,5,2017,gocspa,1,1
45.53882,-122.3889399,OBS474584127,12,18,2016,gocspa,4,1
45.53882,-122.3889399,OBS474585248,12,25,2016,gocspa,9,1
45.53882,-122.3889399,OBS474586857,1,1,2017,gocspa,3,1
45.53882,-122.3889399,OBS474588410,1,8,2017,gocspa,3,1
45.53882,-122.3889399,OBS474589436,1,15,2017,gocspa,2,1
45.53882,-122.3889399,OBS474591211,1,22,2017,gocspa,9,1
45.53882,-122.3889399,OBS474592037,1,29,2017,gocspa,5,1
45.53882,-122.3889399,OBS474762171,2,5,2017,gocspa,2,1
45.53882,-122.3889399,OBS474763995,2,12,2017,gocspa,5,1
45.53882,-122.3889399,OBS474794549,2,19,2017,gocspa,5,1
45.53882,-122.3889399,OBS474795734,2,26,2017,gocspa,2,1
45.53882,-122.3889399,OBS481810119,3,19,2017,gocspa,1,1
45.53882,-122.3889399,OBS481812820,3,26,2017,gocspa,4,1
45.53882,-122.3889399,OBS481814920,4,1,2017,gocspa,2,1
45.53882,-122.3889399,OBS489953133,3,12,2017,gocspa,1,1
32.644669,-93.705033,OBS394682971,3,11,2016,fiespa,1,1
30.148659,-85.652939,OBS376966493,2,22,2016,fiespa,3,1
41.7734722,-72.193046,OBS354110114,11,17,2015,fiespa,6,1
41.7734722,-72.193046,OBS477842768,3,21,2017,foxspa,1,1
41.7734722,-72.193046,OBS479858984,3,28,2017,foxspa,1,1
41.7734722,-72.193046,OBS482267337,4,4,2017,foxspa,1,1
39.2976382,-79.9547303,OBS564630405,11,18,2017,fiespa,2,1
39.7997992,-75.6003034,OBS450326532,12,19,2016,fiespa,1,1
39.7997992,-75.6003034,OBS473427251,2,27,2017,foxspa,1,1
38.474155,-122.760191,OBS365696205,1,11,2016,gocspa,5,1
38.474155,-122.760191,OBS367429388,1,18,2016,gocspa,1,1
38.474155,-122.760191,OBS369153626,1,26,2016,gocspa,3,1
38.474155,-122.760191,OBS370704617,2,1,2016,gocspa,4,1
38.474155,-122.760191,OBS372358786,2,8,2016,gocspa,2,1
38.474155,-122.760191,OBS374777140,2,15,2016,gocspa,15,1
38.474155,-122.760191,OBS377345088,2,23,2016,gocspa,5,1
38.474155,-122.760191,OBS379504281,3,1,2016,gocspa,6,1
38.474155,-122.760191,OBS388643179,3,8,2016,gocspa,6,1
38.474155,-122.760191,OBS388643697,3,15,2016,gocspa,4,1
38.474155,-122.760191,OBS388644189,3,22,2016,gocspa,7,1
38.474155,-122.760191,OBS388644729,3,29,2016,gocspa,8,1
35.9684638,-83.3652878,OBS358536843,11,27,2015,fiespa,2,1
35.9684638,-83.3652878,OBS358539049,12,4,2015,fiespa,10,1
35.9684638,-83.3652878,OBS358849142,12,11,2015,fiespa,4,1
35.9684638,-83.3652878,OBS359829680,12,17,2015,fiespa,9,1
35.9684638,-83.3652878,OBS362158939,12,23,2015,fiespa,8,1
35.9684638,-83.3652878,OBS363302122,12,31,2015,fiespa,12,1
35.9684638,-83.3652878,OBS364953549,1,7,2016,fiespa,12,1
35.9684638,-83.3652878,OBS366258943,1,14,2016,fiespa,7,1
35.9684638,-83.3652878,OBS369111948,1,21,2016,fiespa,12,1
35.9684638,-83.3652878,OBS369679158,1,28,2016,fiespa,11,1
35.9684638,-83.3652878,OBS371803043,2,4,2016,fiespa,7,1
35.9684638,-83.3652878,OBS373017341,2,11,2016,fiespa,9,1
35.9684638,-83.3652878,OBS376732969,2,18,2016,fiespa,4,1
35.9684638,-83.3652878,OBS377559762,2,25,2016,fiespa,5,1
35.9684638,-83.3652878,OBS379276031,3,3,2016,fiespa,4,1
35.9684638,-83.3652878,OBS381249523,3,10,2016,fiespa,1,1
35.9684638,-83.3652878,OBS386957029,3,24,2016,fiespa,1,1
35.9684638,-83.3652878,OBS387894955,3,31,2016,fiespa,1,1
44.8431833,-93.3706453,OBS398818902,4,7,2016,foxspa,6,1
44.8431833,-93.3706453,OBS519454458,3,23,2017,foxspa,2,1
44.8431833,-93.3706453,OBS519455674,4,6,2017,foxspa,2,1
43.71068,-74.975405,OBS388187467,4,2,2016,foxspa,1,1
37.524084,-77.489327,OBS448730916,12,11,2016,fiespa,3,1
37.524084,-77.489327,OBS455204260,1,7,2017,fiespa,4,1
35.6843333,-82.6491801,OBS595220021,3,17,2018,foxspa,1,1
47.6448139,-122.36259,OBS384047331,12,13,2015,gocspa,2,1
47.6448139,-122.36259,OBS384049235,12,2,2015,gocspa,1,1
47.6448139,-122.36259,OBS384050026,11,26,2015,gocspa,1,1
47.6448139,-122.36259,OBS384050571,2,7,2016,gocspa,1,1
47.6448139,-122.36259,OBS384051283,1,22,2016,gocspa,2,1
47.6448139,-122.36259,OBS384051884,1,4,2016,gocspa,1,1
47.6448139,-122.36259,OBS396268131,3,19,2016,gocspa,2,1
40.5064578,-86.76929,OBS353573533,11,14,2015,foxspa,2,1
40.5064578,-86.76929,OBS354865229,11,21,2015,foxspa,2,1
40.5064578,-86.76929,OBS356177414,11,28,2015,foxspa,1,1
40.5064578,-86.76929,OBS379452802,3,5,2016,foxspa,1,1
40.5064578,-86.76929,OBS381212015,3,12,2016,foxspa,1,1
40.5064578,-86.76929,OBS384556958,3,19,2016,fiespa,1,1
40.5064578,-86.76929,OBS384556963,3,19,2016,foxspa,1,1
40.5064578,-86.76929,OBS388264262,4,2,2016,fiespa,1,1
40.5064578,-86.76929,OBS442658019,11,12,2016,foxspa,1,1
40.5064578,-86.76929,OBS444585167,11,19,2016,foxspa,1,1
40.5064578,-86.76929,OBS447712873,12,3,2016,foxspa,1,1
40.5064578,-86.76929,OBS448552039,12,10,2016,foxspa,1,1
40.5064578,-86.76929,OBS449959385,12,17,2016,foxspa,1,1
40.5064578,-86.76929,OBS451681638,12,24,2016,foxspa,1,1
40.5064578,-86.76929,OBS453316350,12,31,2016,foxspa,1,1
40.5064578,-86.76929,OBS468213001,2,18,2017,foxspa,1,1
40.5064578,-86.76929,OBS470856886,2,25,2017,fiespa,1,1
40.5064578,-86.76929,OBS470856893,2,25,2017,foxspa,2,1
40.5064578,-86.76929,OBS472948446,3,4,2017,foxspa,1,1
40.5064578,-86.76929,OBS474869248,3,11,2017,foxspa,1,1
40.5064578,-86.76929,OBS476848033,3,18,2017,foxspa,2,1
40.5064578,-86.76929,OBS481192392,3,25,2017,foxspa,2,1
40.5064578,-86.76929,OBS481428238,4,1,2017,fiespa,1,1
40.5064578,-86.76929,OBS481428242,4,1,2017,foxspa,3,1
40.5064578,-86.76929,OBS549049203,11,11,2017,foxspa,3,1
40.5064578,-86.76929,OBS550752871,11,18,2017,foxspa,3,1
40.5064578,-86.76929,OBS550752889,11,18,2017,fiespa,1,1
40.5064578,-86.76929,OBS552921722,11,25,2017,foxspa,2,1
40.5064578,-86.76929,OBS554414100,12,2,2017,foxspa,2,1
40.5064578,-86.76929,OBS556136683,12,9,2017,foxspa,2,1
40.5064578,-86.76929,OBS558177992,12,16,2017,foxspa,2,1
40.5064578,-86.76929,OBS562332917,12,23,2017,foxspa,1,1
40.5064578,-86.76929,OBS562333746,12,30,2017,foxspa,1,1
40.5064578,-86.76929,OBS565246916,1,6,2018,foxspa,2,1
40.5064578,-86.76929,OBS567963017,1,13,2018,foxspa,1,1
40.5064578,-86.76929,OBS569967110,1,20,2018,foxspa,1,1
40.5064578,-86.76929,OBS572188029,1,27,2018,foxspa,1,1
40.5064578,-86.76929,OBS574396340,2,3,2018,foxspa,1,1
40.5064578,-86.76929,OBS576786405,2,10,2018,foxspa,1,1
40.5064578,-86.76929,OBS579433325,2,17,2018,foxspa,1,1
40.5064578,-86.76929,OBS582610891,2,24,2018,foxspa,1,1
40.5064578,-86.76929,OBS594559885,3,31,2018,foxspa,1,1
40.5064578,-86.76929,OBS594559892,3,31,2018,fiespa,1,1
40.5064578,-86.76929,OBS597406521,4,7,2018,fiespa,1,1
40.5064578,-86.76929,OBS597406524,4,7,2018,foxspa,2,1
46.085378,-122.948042,OBS443560711,11,15,2016,gocspa,8,1
